Word,Meaning,Exemple,Type
Jagged,"Dentelé, irrégulier, crenelé, ebréché, tranchant",What I first saw was the tiny-jagged-edged sword laying in the corner,A
A jackanape,"Un freluquet, un polisson, un chenapan, un garnement",Jack of all trades must have been a real jackanape in his youth,N
To juggle,Jongler,The talented artist juggled with 10 balls at the same time,V
A jibe,"Une vanne, une raillerie, un sarcasme",I decided to stop giving a fuck about those fool's jibes and make my own way,N
A jape,Une blague ( non malveillante ),"The guy was a living clown, always having japes and shaggy-dog stories to tell",N
To jostle,"Bousculer, pousser",This might jostle our plans if we don't do anything and let it happen,V
A jasper,Une japse ( type de pierre ) ,"A jasper mine has been discovered far to the east, should we explore it ?",N
A jerkin,Un justaucorps,"He was wearing something under his jacket, a jerkin maybe ? Or a hauberk ?",N
A jangling,Un cliquetis,"No worries, we’ll hear the jangling of his keys way before he steps in the corridor",N
Keening,Funèbre,A keening melody came from the crypt,A
Kennel,Chenil,I left the dogs in the kennel,N
A kindling,"Un embrasement, du petit bois",Dry kindling is used to start fires,N
To lessen,Diminuer,His skill lessened with age,V
To litter,"Mettre bas, jeter des ordures",My cat littered in the cellar,V
A litter,"Une litière, un déchet, une portée, une civière",I went to the cellar to see the litter,N
A lap,"Les genoux, le giron, un tour de piste",The kittens sat on my lap,N
To linger,"Persister, s'attarder, se prolonger, une julienne","Even when the boogeyman died when the movie ends,its shadow linger in children's minds.",V
To lurch,"Faire une embardée, vaciller, tituber","No doubt I was lurching, with all I drank",V
A likeness,"Une ressemblance, une similitude",Sometimes there's more likenesses between strangers than twins,N
A liege lord,"Un suzerain, un seigneur féodal",Liege lords had the right to breed with any woman they like,N
Lank,"Raide, insuffisant en quantité",Her eyes were hidden beside a lank fall of dark hair,A
A loin,"Une longe, un filet, un rein, une échine ",Porks loins are usually sold by 6 in this shop,N
A luster,"Un éclat, un lustre, la brillance",I chose a lusterless white paint for my living room,N
Languidly,"Langoureusement, avec indifférence, mollement",She rose to her feet and languidly stretched herself,A
Looming,"Imminent, approchant",The looming deadline wasn't helping us to focus,A
A loathing,"Un dégout, une haine, une répulsion",I never knew what was behind this loathing I get at school daily,N
A landing,"Un palier, un atterissage, un embarcadère, une réception","She finally get over the infinite flight of steps, and reached the landing",N
Lavish,"Opulent, somptueux, généreux, extravagant, fastueux, prodigue ","He had a lavish lifestyle. Parties, trips and astronomic expenses were usual for him",A
Lean,"Svelte, maigre, mince, lègère","A lean boy was running in the fields, I had never seen him before",A
A lice,Un pou,Lices tends to spread from one head to another just by jumping on it,N
A ladle,"Une louche, une poche","He handed me the ladle, almost ordering me to take another bowl of soup",N
To lope,Bondir,Bunnies are known for their loping movements right ?,V
Lest,De peur que,"I didn't look at the clock, lest there was already no time left",A
A lilt,"Un accent, une tonalité dans la voix, la cadence","She was a foreigner, and she had that lovely lilt in her voice that made me fall in love",N
Laden,Chargé,The hand sign of our house is laden with memories and feelings,A
The levies,"Les prèlevements, les taxes, les impositions",Levies on imports will be increased as soon as I get in position,N
Lithe,Agile,"The small girl dodged, vaulting with lithe ease over the table next to her",A
To loll,Se prélasser,Beaches are full of men and woman lolling in the sunlight or in the water,V
Man-at-arms,Homme d'armes ( de main ) ,,N
To mingle,"Se mélanger, se mêler",That's when they started to mingle.,V
To mutter,"Marmonner, murmurer","""Ass"", Jon muttered",V
Mischief,"Malice, espiéglerie, méfait, bêtises",Let's see what mischief my sons have rooted up,N
A moonturn,Un mois,The late summer snow had been heavy this moonturn,N
Misshapen,Deformé,"Trash out this misshapen piece, it won't be useful !",A
A motto,"Un adage, une devise, un slogan, un leitmotiv","Drink, eat and fuck are my bloody mottoes",N
Meekly,"Docilement, sans un mot, doucement","He really wanted to end this discussion, so he meekly accepted.",A
A manse,"Un presbytère, la maison de l'hôte",It took years for workers to restore the St Andrews's manse,N
A maiden,"Une jeune fille, une demoiselle, une jouvencelle",A married woman keeps her maiden name,N
Maiden,"Inaugural, premier",I made my maiden speech at the Assembly today,A
Mild,"Doux, léger, tempéré, clément, mineur, bénin",Buffalo's team winning the tournament is quite a mild surprise,A
To muster,Rassembler,Mustering everybody in safe places quickly is crucial on earthquake situations,V
A mongrel,"Un chien batard, errant","The streets were dusty and gloomy, with mongrel dogs and tiny rats at every corner",N
Motley,Hétéroclite,"A motley band came in town, planning to stay a bunch of days",A
To marshal,"Rassembler, canaliser","I had to marshal my courage in order to talk to her, and I did",V
The morrow,Demain,I hope that this problem will  be fixe on the morrow,N
The mortar,"Le ciment, un mortier",The druid was using a mortar to crush spices and plants.,N
To mourn,"Pleur,  être en deuil, déplorer","I won't mourn this cunt's death, he was the biggest asshole Earth has seen",V
A mummer,"Un artiste de foire, un bouffon, un masqué","I'm so tired of these mummer's farces, so please stop !",N
To muse,Songern méditer sur,I often spend time musing over my future when I go to bed,V
A mane,"Une crinière, une tignasse, une chevelure",The alpha lion in a pack is the one with the biggest mane,N
Matted,"Emmêlé, dépoli","Her hair was all matted, probably she didn't took time to rest these past few days",A
To muss,~ to mess,He mussed up his daughter's hair while he was talking to me,V
To molder,"Mouler, pourrir, moisir",Letting apples next to oranges will cause the former to molder quicker,V
Maimed,Mutilé,People who commit suicide and who only get maimed from it can consider themselves lucky,A
The muck,"La boue, le fumier, la bouillie, la crasse, la merde","Take this shovel and muck the stables out first, then come back to me for your reward",N
Mottled,"Tacheté, moucheté","Leopards have a wonderful mottled fur, it's my favorite animal !",A
To mop,"Eponger, laver","The maid was on all fours, moping the floor and seemed worried about something",V
The mother-of-pearl,De la nacre,"A mother-of-pearl collar around his neck, the boss fiddled with a coin with his fingers",N
A morsel,"Un morceau, une bouchée, un bout","Thinking he was alone, the kid took a morsel of the cake on the table",N
The mirth,"L'hilarité, l'allégresse, la gaieté","A laugh went out alone at first, and in a few minutes the mirth took place in all the room",N
A meddling,"Une ingérence, une intrusion","With no meddling of any other member, the meeting continued and ended nicely",N
A moat,"Une douve, un fossé","Once the moat is dug and filled with water, it will be a strong defence against zombies",N
A maidenhead,"Une virginité, un hymen","Don’t worry, I already lost my maidenhead several years ago",N
Mayhap,"Par exemple, si ça se trouve","First we need to get in the kitchen, and then mayhap, the cook would let us eat for free.",A
Murky,"Sombre, obscur, trouble, ténébreux","His testimony was filled with untold spots and murky details, so we went suspicious about him",A
The manacles,Des menottes,"On the wall, rusty iron manacles were hanging and it gave us a chill down our spines",N
To nuzzle,"Museler, fouiner, fourrer son nez",The pup nuzzled in his arms.,V
To nurse,"Allaiter, nourrir, s'occuper, prendre soin",He encouraged his baby to nurse,V
Nigh,Old fashioned way to say Near,"Beware, the end is nigh, my friends !",A
A namesake,Un homonyme,The old man headed his namesake business during 40 years,N
To nip,"Pincer, mordiller, étouffer",It's so cute when lil' puppies nip people to play,V
A neigh,Un hennissement,We heard neighs as long as we walk to the stable,N
Niggardly,Avare,"""Once again, Bill, your niggardly act led us right into shit, so what now ?""",A
Nonplussed,Perplexe,Not a single fact of those I brought to him made him nonplussed,A
Nought,"Rien, néant, zéro","Now, the only thing they have left, well, is nought",N
Nimble,"Agile, souple, maniable, alerte, adroit",I wish the government was nimbler on several subjects,A
To nag,"Harceler, houspiller",Several questions nagged at me while I was listening to him,V
To nurture,"Entretenir, nourrir, cultiver, encourager, alimenter","By nurturing their trust, we can keep 'em in the palm of our hands",V
A nightingale,Un rossignol,She turned her face to look at the window and saw a nightingale on the sill,N
A navel,Un nombril,A small silver ring was ornating her navel.,N
An oak,Un chêne,My grandpa used to sit under the oak at dawn.,N
Offspring,"La progéniture, le descendant, le rejeton",You and your offsprings are invited to the wedding,N
An omen,"Un présage, un augure",All the omens are clear : this summer will be warm,N
Oft-times,Souvent,"Dark Cloud is an oft-times criticized game, but I love it anyway",A
An oar,"Une rame, un aviron","Watch your fingers when you use the oar, or you might bump 'em",N
An ordeal,"Une épreuve, un supplice, un calvaire",You'll have to get through the warrior's ordeal if you want to join us,N
An oddment,"Un morceau, un bout","I took an oddment of the window glass shattered on the floor, just in case",N
An ox,Un boeuf,"A ranch full of oxes and goats, a fine horse and a beautiful wife is all I want",N
An oaf,"Un lourdaud, un dadais","Leave the logs here, our good fellow oafs right here will bring'em in later",N
Ominous,"Inquiétant, de mauvais augure, sinistre, menaçant","The key was very simple and ordinary, yet somehow I found it quite ominous",A
Perilous,Périlleux,a nervous tension that has come perilously close to fear.,A
"To prickle, a prickle","Picoter, un fourmillement",I felt my arm prickling.,V
To be pampered by,"Être choyé, être gaté par",I have always been pampered by my parents,V
A pride,"Une fierté, une troupe, une tribu",The poor horse was not surrounded by a tribe of hungry lions.,N
Pewter,Etain,"Pewter mugs are very old fashioned, but I still like'em",N
Peerless,Hors pair,War geniuses always come with peerless plans in their heads,A
Plump,"Rondouillet, dodu",There is a common fantasm about plump chicks on the Internet,A
Pouty,Pulpeux,"She was putting on her makeup, making her kips as pouty as possible",A
To pluck at,"Tirer, arracher, plumer, cueillir",You have to pluck at the guitar strings more tightly if you want a good sound,V
Pointedly,Précisement,"I think that the killer is within us, and more pointedly, actually talking to you",A
A penance,"Une pénitence, une punition",Penance is a way for us to empty our minds and make room for other things,N
Petulant,Irritable,I couldn't help myself from punching him when he answered me with such a petulant voice,A
Perfunctory,Superficiel,"He wanted to be friend, but I made sure our conversation remainded perfunctory",A
To poke,"Donner un petit coup, percer, tisonner","I wary poked the rabbit's corpse, unsure if it was still alive.",V
Puzzled,"Troublé, perplexe, intrigué","We were all silent, completely puzzled by what just happened",A
A poacher,Un braconnier,We were riding home when we stumbled on two foreign poachers,N
Pox-ridden,"Vérolé, rongé",A pox-ridden old man tried to gather his few things before leaving,A
A plume,"Une panache, une plume",Plumes of smoke were raising in the sky all across the burning town,N
Pockmarked,Une surface avec des trous ou des renfoncements,"His face was pockmarked, and scary enough to give nightmares to all the realm's children",A
To prattle,"Bavarder, jacasser, radoter, papoter",The president never prattled in his speeches and always got to the point,V
To prance,"S'agiter, sautiller, se dandiner",You mean the little guy always prancing around in the pub is the real boss of the game ?,V
To pummel,"Battre, massacrer","A fierce storm was raging on the rice field, lightning and thunder pummeling its soil ",V
A pelt,"Une fourrure, une peau","Besides the firecamp was an old man, skinning a wolf pelt with a sharpen dagger",N
To ply,Exercer,I used to ply in the naval forces before my accident,V
A pier,"La jetée, le quai, le debarcadère, le ponton","The old fisherman was here, as always, sitting on his chair at the end of the pier",N
A portcullis,Une herse,The castle's portcullis is one of the first obstacles the invader must face,N
A postern,Une poterne ( petite porte dans la muraille ),"I followed her down the stairs, across the yard and beyond the castle's south postern",N
A pomegranate,"Une grenade, un grenadier","Pomegranates are my favorite fruit, it's so sad I can't found some easily",N
To prowl,Rôder,"Cats usually prowl at night, chasing stuff and dealing with their mates",V
A persimmon,"Un kaki, une figue caque","Persimmons is a strange fruit that I never like, even if I ate aplenty of it",N
Pudgy,Rondouillard,"A pudgy little boy entered the room, a plate on his left hand and a fork in his right",A
To plod,Avancer,"Armies were plodding onwards us, but we and our men were ready to fight",V
A plaster,"Un pansement, un sparadrap","I quickly noticed the small plaster he wore on his leg, it was soaked in blood",N
A pate,Un paté de,"This night's supper was made of raw pork and potato pate, and was delicious",N
To plunder,Piller,"Pirates usually plundered each inn or tavern they lay a foot in, at least in the fables",V
A plinth,"Un socle, une plinthe, un piédestal","All across the room, worshiped swords were disposed on stony or metal plinths",N
A pang,Une sensation,"Suddenly, a pang of hunger reminded us that we hadnt eat in two days",N
The phlegm,"Le flegme, le mucus","Cough once to bring up the phlegm, and a second time to spit it out",N
A pennon,Un drapeau triangulaire porté par les chevaliers,The first knights were proudly holding the king's pennon for all to see,N
A pansy,Une pensée ( fleur ) ,"Watch out when collecting pansies, some of'em could be mimic disguised ",N
A quarrel,Une dispute,Will had known they would drag him into the quarrel sooner or later,N
To quell,"Réprimer, apaiser, atténuer, étouffer, réduire, calmer, juguler, dissiper","A good teacher is able to make his students laugh, then quell their laughter until they're calm again",V
To quip,"Railler, lancer une pique","""Oh yeah bring it, so that we'll have something to throw at the monsters if they get close !"" she quipped",V
Querulous,"Pleurnicheur, plaintif, abusif","The foster house was filled with glancing girls and querulous boys, as we could expect it to be",A
A quaver,"Un tremolo dans la voix, une croche ( musique )","Sometimes, he was speaking with this particular quaver in his voice, mostly when he was sad",N
A quail,Une caille,"Quails are really excellent, if they're cooked well and served with mushrooms and other vegetables",N
A quill,"Une plume, des piquants",The professor dipped the tip of his quill in the inkpot nearby and started writing,N
A reddening,"Une rougeur, un rougissement",A reddening of the skin can be noticed,N
To recede ,"S'éloigner, diminuer graduellement",The sound of Robb's laughter receded,V
To root out,"Déraciner, éliminer à la source, dénicher",Let's see what mischief my sons have rooted out,V
A riverbank,"La berge, la rive",He stood by the riverbank,N
To rear,"Elever, se cabrer",His horse reared,V
A redwood,Un séquoia ,I once climbed at the top of a redwood to admire the view,N
To reflect on,"Réflechir, refléter, représenter",The teacher askes us to reflect on what could make the world better,V
A rippling,"Une ondulation, des effets de bord",To kill the prime minister may have rippling effects across the world,N
Rueful,"Triste, lugubre, morne",He began his speech with a rueful face,A
A retainer,"Une avance, une provision, un domestique",Don't forget to bring your retainers if you want to enter the shelter,N
To rouse,"Eveiller, provoquer, stimuler, réveiller","Waych out, you may rouse the bears if you use your flashlight",V
Ripe,"Mûr, propice, mature","I like my bananas very ripe, almost black",A
To roam,"Parcourir, errer, vaguer, déambuler, flâner",I wonder what cats do a night other than just roam the streets,V
Raucous,"Rauque, agité, bruyant, tapageur, mouvementé",A raucous crowd was standing in front of the office,A
To relish,"Savourer, se délecter","This game is to be relished, but i binge-played it instead",V
To ruffle,"Froisser, hérisser, gonfler, chiffoner, ébouriffer",Birds ruffle up their feathers to fight against the coldness,V
Reluctantly,"A contrecoeur, à regret","Reluctantly and full of drear, I followed him in the open crypt",A
Resentment,"Ressentiment, rancoeur, rancune, amertume, dépit, animosité",Split the treasure into unequal parts caused resentment among the crew,N
A rookery,Une colonie d'animaux,Every bird has to leave the rookery when they grow up,N
A ratter,"Un ratier, chien destiné à la chasse aux rats","Ratters are trained to detect, hunt, and kill rats.",N
Rasping,Eraillé,His rasping voice echoed into the great hall.,A
To roil,"Créer des tourbillons, de la turbulence, to stir up",She felt her emotions roiling inside her,V
To ripple,"Onduler, rider, faire onduler","If we throw a rock in the water, it will ripple for sure, lads !",V
A rattle,"Un hochet, un cliquetis, une crécelle, des vibrations","The rattle of wagons began to receed, and the silent came back.",N
A rasher,"Une tranche de lard, de bacon","The waiter came in the room, holding a plate full of rashers of bacon",N
Raggedy,"En loques, depenaillé ( ragged, mais vient de Raggedy Ann & Andy dolls )","A shaggy raggedy old man stood up and said ""I did it !""",A
A rash,"Une éruption cutanée, un éryhtème, une rougeur, une irritation",These plants are not supposed to cause such rash on human skin,N
Rash ,"Imprudent, irréfléchi, hâtif, téméraire, inconsidéré",I saw red and I made my rashest decision ever,A
To recline,"Incliner, s'incliner","The asylum was comfy, thought, besides the fact we have to recline in our beds",V
A rower,Un rameur,"Dozens of those rowers were sitting here, tired but happy to have a decent work",N
To retch,Avoir des hauts-le-coeur,"Looking at the corpse began to make me retch, then barf in disgust",V
A rigging,"Le gréement, un trucage","Bid rigging is not forbidden if you do not get caught, right ? He smiled",N
A redoubt,Une redoute,"We can hide in the unused royal redoubt, if you're not afraid of rats",N
Roughspun,"Rapiécé, fait de plusieurs parties","When you begin Skyrim, all you have is a roughspun tunic",A
To rankle,"Rester en travers de la gorge, rester sur le coeur","I tried to forgive him, but his words were still rankling with me ",V
Ramshackle,"Deglingé, branlant",I always dreamed of discovering a ramshackle town hidden in the forest,A
Rough-hewn,"Brut ( littéralement ""brutalement taillé"" )",He was standing out from the rough-hewn folks crowded in the hall,A
To rue,Regretter quelque chose de chose,"You will rue the day you fooled me, and wish you never did it !",V
To revile,"Injurier, vilipender","When the teacher reviles you, it is best to sit still rather than spit back",V
To rejoice,"Se réjouir, réjouir","At least, we should rejoice that he didn't made it to the end",V
Rheumy,"Des yeux larmoyants, humides","His rheumy eyes slowly closed, and we feared it might be the last time they'll do",A
Ribald,"Grivois, libertin","She took her harp and began to sing a ribald song, with dirty sexual lyrics",A
A rebuke,"Une réprimande, un reproche",A strong rebuke came from the man who was sitting next to the fire,N
A raiment,"Un vêtement, un costume",Two changes of raiment are waiting for us in the next room,N
A retinue,La suite,"The royal retinue seemed to be endless, always more wagons and stuff",N
Supple,Souple,He wore a fine supple coat,A
Sullen,Renfrogné,He was silent and sullen.,A
A sheath ,Un fourreau,He took the blade off its sheath,N
A scubbard,Un fourreau,He took the blade off its scubbard,N
Scrawny,"Maigrichon, décharné",He was a scrawny little boy.,A
Slender,"Mince, élancé, svelte",He was slender and tall,A
To spur,"Encourager, pousser, inciter, impulser, éperonner",He would have spurred the pony faster,V
To slump,"S'effondrer, s'écrouler",A huge dark shape slumped in death,V
Shaggy,"Hirsute, ébouriffé, poilu",Ice had formed in its shaggy grey fur,A
To squirm,"Se tortiller, contrarier","I have to ask you this question, but it may make you squirm",V
To slink off,"S'échapper, se faufiler",Do not try to slink off ! ,V
To snuggle,"Se blottir, se pelotonner",The pup snuggled into her arms,V
Stubborn,"Entêté, têtu, tenace, résistant",Dwarves are known to be one of the most stubborn people.,A
A swatch,Un nuancier de couleurs,Refer you to the color swatch to pick a color,N
To shudder,"Frémir, frissonner, grelotter",I usually begin to shudder on September,V
"To slouch, a slouch","S'affaler, être avachi, une mauvaise posture, en reste",You ain't no slouch when it comes to lazyness,V
"To shimmer, shimmering","Miroiter, scintiller, chatoyant, briller, luire",There was some kind of magic vibes in the shimmering waters,A
A sickbed,Le chevet,"When she died, I was at her sickbed.",N
Scalding,"Bouillant, brulant, un échaudage",She went naked into the scalding-hot water,A
A stag,"Un cerf, fait en corne",She takes a look at the stag sterring wheel of the car,A
Stunted,"Rabougri, arreté, ralenti",I thought that I suffered from stunted growth when I was young,A
Scarcely,"A peine, rarement, difficilement, presque",I can scarcely run 100m without getting out of breath.,A
To sag,"S'affaisser, fléchir, pendre, défaillir",The roof will sag through time,V
A sepulchre,"Un tombeau, une sépulture",Bones and skulls are not a rare sight in sepulchres,N
To stir,"Remuer, provoquer, attiser, mélanger ",Stir in the flour and butter until they are well blended,V
Stern,"Sévère, austère, strict, grave",Teachers try to have their sternest faces during exams,A
A stonemason,"Un maçon, un tailleur de pierre","I always wanted to be a stonemason, as far as I can remind",N
To scrabble,Fouiller rapidement à l'aveugle ,Why does the Scrabble is called Scrabble ? Because you scrabble when you play it ,V
Swirling,"Tourbillonant, tournoyant","UFO's are, for an stange reason, always described like plates swirling in the air",A
Startled,"Surpris, étonné",He was so startled that his girlfriend asked him such a thing !,A
A squire,Un écuyer,"Before he became a knight in the name of the king, he was just a squire",N
To sate,Repaître,"Once he sated his curiosity, he became silent and stopped asking questions",V
To straddle,Chevaucher,The river straddles two states : Michigan and Ohio,V
To snag,Dechirer,"Luckily for us, mosquitos are not strong enough to snag mosquito nets",V
Swelled,Gonflé,"The more she looked at him, the more he was swelled with pride",A
To snarl,"Gronder, rugir, emmeler",The lion began to snarl to make us understand we shouldn't be there,V
To saunter,"Se balader, marcher d'un pas nonchalant",My parents are always saying that I should straighten up and stop sauntering ,V
A solace,"Un réconfort, une consolation, un soulagement, un apaisement",Hearing the bell ring was the only solace I had today,N
To shun,"Eviter, bouder, fuir, ignorer, mépriser, snober, bannir","The little girl was obviously shunning, showing us her inner anger",V
A salvage,"Un sauvetage, une récupération, une conservation",Try to store your food in containers for salvage,N
Starched,Amidonné,Nobles in the Middle Ages were wearing these large starched white collars,A
A smirk,"Un sourire narquois, suffisant",I would have given everything to get rid of the stupid smirk on his face,N
A sill,"Un rebord, un seuil, un appui",He put his feet up on the window sill and looked far away,N
Stout,"Robuste, gros, solide, corpulent",He was a stout keg of a man,A
To stagger,"Echelonner, décaler, stupéfaire, étaler, chanceler, tituber, répartir",The way he told me this staggered me and I wanted to get away,V
To surmise,"Présumer, supposer, deviner",It is surmised that this year's elections were shammed and rigged.,V
A stall,"Un stand, un étal, un box, une écurie","My horse is the best, so he deserves the best stall",N
Slanted,"Incliné, penché",I buried my treasure under the slanted pillar,A
To scramble,"Ruer, brouiller, coder, mélanger","The secret agent scrambled the message, so that we can't read it.",V
A sparrow,Un moineau,"A sparrow was standing there, two feet away from us",N
To sprawl,"S'étaler, étaler","He tripped, fell, and sprawled across the floor",V
To shinny up,Grimper a la force de ses bras et jambes,You'll have to shinny up the wall to fetch your ball.,V
Sheepish,Penaud,"Each time my dog does something wrong, he comes up with that adorable sheepish look",A
Snug,"Confortable, douillet, ajusté, serré","She wandered in the room, looking for a place snug enough to lay",A
The soot,La suie,"He was wearing a large coat, a soot-dark scarf wrapped around his neck",N
To swirl,"Tournoyer, faire tourbillioner, torsader",The piece of paper began to swirl as it entered the tornado,V
Shallow,"Peu profond, superficiel, léger, court",They took a step forward into the shallow waters of the mystic swamp,A
A sheen,"Un éclat, une irisation, un reflet","A rainbow sheen ran across the blade, as if it was covered in oil ",N
To seethe,"Bouilloner, fulminer, enrager",It makes me seethe to hear all these people talking behind his back,V
To shriek,"Crier, hurler (strident)","The bat swarm began to shriek, all in one unique voice",V
A slipper,"Une pantoufle, un chausson",The tidy little girl always leaves her slippers next to her bed when she goes to sleep,N
A stirrup,Un étrier,Slide your feet in the stirrups if you want to keep a good grip on your horse,N
To swell,"Gonfler, enfler, s'amplifier, augmenter, se tuméfier",Some frogs have the hability to swell to discourage predators,V
A squabble,"Une chamaillerie, une querelle",Squabbles and quarrels were the most iconic feature of our pub,N
To span,"Couvrir, traverser, enjamber, franchir, recouvrir","A stone bridge spanned the river, but was also known to be a place of ambush",V
To stoop,"S'abaisser, se baisser, fondre en piqué, se vouter",How could you stoop so low and stab an old man in the back in a pitch-black room ?,V
A stopper,"Un bouchon, un obscurateur, un butoir","She slowly pulled the stopper out, and started drinking water as if it was her last time",N
To scoop,"Ramasser, prendre, recueillir, publier en exclusivité",I scooped a part of the treasure while they weren't looking,V
To scowl,"Se renfrogner, fusiller du regard, regarder de travers","The taller one scowled at me, but didn't said anything when I began to speak ",V
Soiled,"Pollué, souillé, sale","In case of contamination, remove all your soiled clothes and threw them away",A
A splotch,Une tâche,The most intriguing thing about this specie was their color-changing splotches on their backs,N
To shoulder,"Epauler, endosser, assumer, faire face à","It is a burden which have to be shouldered by us all, not only one person.",V
Sly,"Malin, sournois, rusé, fourbe, malhonnête","He turned to us, a sly smile all over his broad face",A
To stride,"Marcher à grande foulées, arpenter, faire de grands pas","Apparently in a rush, Mr Jones was striding towards the library",V
To stifle,"Etouffer, réprimer, entraver, freiner, baillôner, museler, faire taire","I did my best to stifle my laughter, but I couldn't hold it and let it out in front of him",V
Stubby,"Trapu, courteaud, court","The wall seemed flat af first, but I quickly noticed a stubby lever hidden in the corner",A
To squat,"Fléchir, s'accroupir, se tapir",The little dog squatted under the table as soon as he heard the detonation,V
To soar,"Jaillir, monter en flèche",This year's barbecues sales have soared guys ! Thanks to the sun !,V
Shrill,"Strident, criard, perçant, aigu",A shrill noise came from the library and freezed us on place,A
To skim,"Ecrémer, parcourir, écumer, raser, effleurer, ricocher","I was glancing at the document, trying to skim through it to find my answer ",V
A scourge,"Un fléau, une plaie, une calamité","Bring all your men, armed and ready, we are not going to let this scourge spread on !",N
Studded,"Clouté, émaillé, constellé","The knight was wearing a studded leather armor, surely much more solid than mine",A
A salve,"Un baume, un onguent, une pommade","Even if I had the knowledge needed to make a salve, I wouldn't touch your skin in any case !",N
To snigger,Ricaner,This story is so much fun I often snigger to myself thinking about it,V
Scant,"Faible, maigre","In the end, these small rubies were a scant consolation, but at least I had them",A
A sprain,"Une entorse, une foulure","Each time I do rock climbing, I end up laying in a bed, with a leg sprain",N
To scour,"Parcourir, fouiller, récurer, écumer, examiner, frotter",I use to scour my dishes with a sponge soaked in soap,V
To straggle,"Trainer, rester en arrière, s'éparpiller","From above, you can clearly see that the soldiers were straggling in disarray and left to themselves",V
To smolder,Fumer,Why does your anger smolder against the boy ? He ain't do nothing you know,V
To stroll,"Se promener, flâner, vadrouiller",Strolling around with my crew is what we used to do in our years of youth,V
To scold,"Réprimander, gronder, injurier, houspiller","My grandmother used to scold me whenever she wanted, so I did not like her that much",V
A swath,"Une bande, un éventail, un andain ( bande de paille dans le sillon )",The last wildfire burned a wide swath of forest from the coal mine to the eastern river,N
A scone,"Gâteau écossais, sorte de pain fourré","I always loved getting to my grandma's house, she always had those scones i love !",N
To skewer,"Embrocher, mettre en brochette","Next to the fire, a man was looking at us, holding a stick on which he was slowly skewering a squirrel",V
A solar,"Appartement, chambre d'un lord dans un chateau","He took me to his private solar, and began undressing in front of me",N
A stalk,"Une tige, un pédoncule, une queue, un brin","Be careful when you handle this flower, its stalk are highly toxic",N
To sway,"Influencer, osciller, faire balancer, tanguer","With the right words, it could be possible to sway their decision in our favor",V
To sear,"Brûler, griller, saisir","First, sear the chicken with a hint of pepper, and then pour in the sauce",V
Stucco,En stuc,"He let us enter his house and led us to his living room, where stucco decorations were adorning the ceiling",A
To sluice,Drainer,A sort of cup with plenty of holes was sluicing the liquid in order to keep the big chunks in it,V
Spitefully,"Malveillant, vindicatif, rancunier, revanchard, mauvais","He spitefully babbled an answer, thought he was at a loss for words",A
A swineherd,Un porcher ( qui s'occupe des porcs ),"The first job I has was to look after the pigs and boars, like a swineherd",N
To smother,"Etouffer quelqu'un, réprimer, asphyxier, couver, suffoquer","When a fire starts, it is best to smother the flames with a blanket rather than pouring water on it",V
To shrivel,"Ratatiner, se flétrir, se dessécher, faner, racornir  ",Fruits and vegetables usually shrivel and blacken when they ripe too much,V
To swelter,Etre écrasé par la chaleur,"The summer was harassing, all I remember is the citizens sweltering on the streets daily",V
Slurred,Mal articulé,"The politician was speaking, badly. A slurred speech and a approximative gesture",A
A slop,Les slops d'un bateau,"Slops were full of water, as if we were already sinking",N
Sundry,Divers,"On the table, bottles, papers and other sundry objects were disposed",A
To scurry,"Se précipiter, courir, s'empresser","No time to talk, we have to scurry to the station in order to arrest him !",V
Sodden,Trempé,The walk across the sodden field left our boots all muddy.,A
Staunch,"Ardent, fervent, fidèle, loyal, inébranlable","Don't worry, this guard is my staunchest fellow, he will lead you to your castle without any harm",A
A spade,"Une pique, une bêche, une pelle","I held my breath as I watched the Joker draw his fifth card, and as expected, the Jack of Spades came out ",N
Shrouded,"Enveloppé, entouré","Some things must remain shrouded in secrecy, whereas others are better shared with friends",A
To sulk,Bouder,"I always pretend not noticing the sulking children, it's a quicker way to calm them",V
A stubble,"Le chaume, la barbe, les poils","On the soil, crop stubbles and leaves were left, ready to be picked by wild animals",N
A slattern,"Une femme qui a beaucoup de relations sexuelles, payées ou non","That girl's a real slattern, but I think that pleasure should not be a sin, so why not ?",N
Shorn,"Cisaillé, tondu, découpé, dépossédé","Shorn of their money, the three gamblers went out the casino, a sad look on their face",A
A succor,Un secours,"With the succor of the White Army, no one was harmed this evening, you should be grateful",N
Stolid,"Flegmatique, impassible, inexpressif","The man in the black coat appears to be more serious than the others, almost stolid",A
To scab,Former une croûte,"The wound soon scabbed over, embued with healing magic. ",V
A sill,"Le rebord, le seuil, l'appui","She sat on the window sill, a book in her hands, crossing her legs",N
A shaft,"Un arbre, un conduit, un manche, un puits, une tige, une cage","The screwdriver was odd, so I inspected the shaft. It was made of wood and nicely carved",N
Steep,"Raide, escarpé, fort, à pic, brutal, abrupt","The mountain had steep slopes, so it made it very difficult to get to the top before night",A
A spoor,"Traces d'animal ( empreintes, fumier ... )",We followed the spoors left by the unwary animal until its master's hideout,N
Stocky,"Trapu, robuste, ramassé","A stocky man was guarding the front door, so we thought it better to sneak in the back door, literally ",A
A spruce,"Un épicéa, une épinette","Thought I was certain that the wood was made of oaks this morning, it was now only spruces",N
A sconce,Un chandelier mural,"In the second room, a robot was fixing a sconce on the opposite wall",N
